base_intent_id,domain,model_name,group_response_count,group_core_sensitivity,group_semantic_sensitivity,group_claim_risk_proxy,group_recommendation_instability,group_token_ceiling_rate
HEAL_H08,Healthcare,ChatGPT,10,0.5938410190855838,0.3804131526086786,0.67,0.9960918710918711,0.7
HEAL_H08,Healthcare,Claude,10,0.5926878500448126,0.38300424550657486,0.6849999999999999,0.9989795918367347,0.0
HEAL_H08,Healthcare,Gemini,10,0.5400700849574417,0.30577891065544505,0.865,0.9948979591836735,0.0
HEAL_H09,Healthcare,ChatGPT,10,0.4481434946159027,0.1842498932035478,0.74,0.9971527777777778,0.4
HEAL_H09,Healthcare,Claude,10,0.5314871020185279,0.2712471340704311,0.6849999999999999,0.990117686091418,0.0
HEAL_H09,Healthcare,Gemini,10,0.5270320765778881,0.2577481623933332,0.755,0.9956709956709957,0.0
HEAL_H10,Healthcare,ChatGPT,10,0.5301413637338106,0.31343042350370054,0.8400000000000001,1.0,0.8
HEAL_H10,Healthcare,Claude,10,0.5587080569722774,0.3276475358187295,0.7849999999999999,0.969528109111158,0.0
HEAL_H10,Healthcare,Gemini,10,0.5204908035792333,0.30427091592791533,0.7849999999999999,0.9921957671957673,0.0
HEAL_H11,Healthcare,ChatGPT,10,0.4746980401464865,0.20467143245191646,0.6,0.994677872784475,0.7
HEAL_H11,Healthcare,Claude,10,0.5157560265509032,0.2583138113421299,0.29,0.9923457170224411,0.0
HEAL_H11,Healthcare,Gemini,10,0.4770496161944541,0.22953682248237098,0.645,0.9743733554027673,0.0
HEAL_H12,Healthcare,ChatGPT,9,0.4943757617972417,0.26943465285378326,0.8555555555555556,0.989270624286143,0.7777777777777778
HEAL_H12,Healthcare,Claude,10,0.6079674511441252,0.42462389693581504,0.53,0.9947864906832298,0.1
HEAL_H12,Healthcare,Gemini,10,0.618858491091256,0.3647309382057745,0.77,0.9868316624895572,0.0
HEAL_H13,Healthcare,ChatGPT,9,0.6529951340422914,0.4654813657431513,0.7,0.9494902731013843,0.7777777777777778
HEAL_H13,Healthcare,Claude,10,0.6195069551016,0.4169531486172812,0.545,0.9909017713365539,0.0
HEAL_H13,Healthcare,Gemini,10,0.5793862525864008,0.35692127355455777,0.77,1.0,0.0
HEAL_H14,Healthcare,ChatGPT,10,0.4571921130767251,0.19619928996479336,0.71,0.9990347490347491,0.4
HEAL_H14,Healthcare,Claude,10,0.5107340387833792,0.266083399726697,0.585,1.0,0.0
HEAL_H14,Healthcare,Gemini,10,0.5283252095277671,0.25040109313350534,0.745,1.0,0.0
